city,cell_id,metric,benchmark_count,human_miles,waymo_miles
LOS_ANGELES,9278184598464888832,airbag,2.0,24409629.806245096,19815.00186139404
LOS_ANGELES,9278184632824627200,airbag,2.0,5373770.119283971,5098.84706393318
LOS_ANGELES,9278184667184365568,airbag,1.0,17187934.81233487,25354.10733284795
LOS_ANGELES,9278184701544103936,airbag,1.0,16840997.91965372,30778.029944209036
LOS_ANGELES,9278184770263580672,airbag,18.923667153284672,13771137.231801143,50208.27030376525
LOS_ANGELES,9278184804623319040,airbag,4.0,18273739.691654176,35538.21177720374
LOS_ANGELES,9278184838983057408,airbag,19.0,29094494.73160465,70495.21905034495
LOS_ANGELES,9278184873342795776,airbag,18.0,17387157.60595121,38621.209419727194
LOS_ANGELES,9278184907702534144,airbag,33.847334306569344,24654560.153063398,56451.799886999164
LOS_ANGELES,9278184942062272512,airbag,50.847334306569344,15355918.829328928,26138.46592579175
LOS_ANGELES,9278185388738871296,airbag,0.0,14740612.53297988,11749.758429949025
LOS_ANGELES,9278185423098609664,airbag,3.923667153284672,28161715.507138222,15510.73636703395
LOS_ANGELES,9278185457458348032,airbag,0.0,26265035.12063613,15016.108483171309
LOS_ANGELES,9278185491818086400,airbag,3.0,15425867.563880887,668.9034408327653
LOS_ANGELES,9278185526177824768,airbag,6.0,16874305.40617799,1876.6385812133178
LOS_ANGELES,9278185560537563136,airbag,3.0,6366746.983506982,2439.180262862361
LOS_ANGELES,9278185594897301504,airbag,0.0,17224989.427420683,3598.920467788753
LOS_ANGELES,9278185629257039872,airbag,9.923667153284672,19914901.724423546,3347.6546281486208
LOS_ANGELES,9278187793920557056,airbag,37.92366715328467,19611626.68810848,8982.948171777398
LOS_ANGELES,9278187828280295424,airbag,35.0,30369060.64348091,59484.44576170498
LOS_ANGELES,9278187862640033792,airbag,25.923667153284672,22755493.80732583,52246.56680934805
LOS_ANGELES,9278187896999772160,airbag,75.92366715328467,35910799.2727093,23752.5654507502
LOS_ANGELES,9278187931359510528,airbag,47.84733430656934,43205629.5823952,17986.712232985625
LOS_ANGELES,9278187965719248896,airbag,13.0,26049531.339408644,28453.654255615536
LOS_ANGELES,9278188000078987264,airbag,23.0,30627173.97063519,32220.053302646917
LOS_ANGELES,9278188034438725632,airbag,8.923667153284672,32623302.84012014,1877.90375176702
LOS_ANGELES,9278188309316632576,airbag,17.0,9573203.574188739,9.49834638977049
LOS_ANGELES,9278188343676370944,airbag,14.847334306569344,41889462.408941746,16866.041575115152
LOS_ANGELES,9278188378036109312,airbag,32.0,35601482.646624625,37371.129661485546
LOS_ANGELES,9278188412395847680,airbag,18.923667153284672,41426081.27542601,26269.38361524687
LOS_ANGELES,9278188446755586048,airbag,31.847334306569344,46446122.964330874,9981.000420664936
LOS_ANGELES,9278188481115324416,airbag,18.847334306569344,15141414.460803462,1902.5137812991343
LOS_ANGELES,9278188515475062784,airbag,32.847334306569344,27062804.682541188,11055.418171386522
LOS_ANGELES,9278188549834801152,airbag,23.61833576642336,28585708.62263802,2508.3149163956277
LOS_ANGELES,9278188584194539520,airbag,4.0,19450947.054845646,16.547617315341345
LOS_ANGELES,9278195971538288640,airbag,11.847334306569344,14880864.982115082,6.669585651501921
LOS_ANGELES,9278196005898027008,airbag,5.0,12880196.10615909,76.44314777468156
LOS_ANGELES,9278196040257765376,airbag,6.0,21394082.277511854,11554.748305764082
LOS_ANGELES,9278196074617503744,airbag,7.0,25820241.171973784,11565.44965471994
LOS_ANGELES,9278196108977242112,airbag,21.847334306569344,33062028.78511641,21445.03731125236
LOS_ANGELES,9278196143336980480,airbag,11.923667153284672,39015379.85164584,17375.766980872577
LOS_ANGELES,9278196177696718848,airbag,27.847334306569344,26764994.684339892,6748.317157060641
LOS_ANGELES,9278196212056457216,airbag,24.771001459854016,50907325.87659054,37123.59807925866
LOS_ANGELES,9278196246416195584,airbag,14.0,37434674.92187685,8266.789293435702
LOS_ANGELES,9278196280775933952,airbag,7.923667153284672,23333019.3587181,1962.480110179661
LOS_ANGELES,9278196967970701312,airbag,1.0,15872304.579055471,307.7328517319064
LOS_ANGELES,9278197002330439680,airbag,11.923667153284672,30607859.276720636,3282.9960453811273
LOS_ANGELES,9278197036690178048,airbag,20.923667153284672,31036886.01460258,18408.72630527672
LOS_ANGELES,9278197071049916416,airbag,1.0,28318086.594362553,641.5159535289533
LOS_ANGELES,9278197277208346624,airbag,1.0,16335570.290210336,136.64062764125885
LOS_ANGELES,9278197345927823360,airbag,4.0,16420386.991256917,2.094784921245317
LOS_ANGELES,9278197380287561728,airbag,10.923667153284672,12224354.24444935,5692.753522184793
LOS_ANGELES,9278197414647300096,airbag,16.0,28148656.108949482,17373.21274643107
LOS_ANGELES,9278197449007038464,airbag,11.847334306569344,41035508.45740118,13079.933769007312
LOS_ANGELES,9278197483366776832,airbag,20.0,35112978.93908095,21222.30117067348
LOS_ANGELES,9278197517726515200,airbag,33.77100145985402,25200734.510819614,25327.033767943674
LOS_ANGELES,9278197552086253568,airbag,12.923667153284672,30362476.082436156,34542.70379646195
LOS_ANGELES,9278197586445991936,airbag,21.0,23829403.69622721,21781.738503196884
LOS_ANGELES,9278197620805730304,airbag,21.771001459854016,22945914.05816554,36720.99996387913
LOS_ANGELES,9278197655165468672,airbag,23.923667153284672,28657586.57468863,37703.734966711585
LOS_ANGELES,9278197689525207040,airbag,35.77100145985401,27069494.480707634,29993.50033651442
LOS_ANGELES,9278197723884945408,airbag,9.923667153284672,28025843.03516332,22886.587193599236
LOS_ANGELES,9278197758244683776,airbag,40.847334306569344,35363497.922875024,48611.515005756686
LOS_ANGELES,9278197792604422144,airbag,12.0,41144087.45104134,32612.559842162736
LOS_ANGELES,9278197826964160512,airbag,31.847334306569344,34632546.529419474,28548.02101853982
LOS_ANGELES,9278197861323898880,airbag,34.69466861313869,48935938.01782932,39514.44757825979
LOS_ANGELES,9278197895683637248,airbag,23.771001459854016,25535750.03069182,16555.251755698966
LOS_ANGELES,9278197930043375616,airbag,28.69466861313869,33690226.69039634,25131.819714966197
LOS_ANGELES,9278197964403113984,airbag,19.847334306569344,22700055.149178043,16423.84740100668
LOS_ANGELES,9278197998762852352,airbag,4.0,14882439.682844916,37887.23425748111
LOS_ANGELES,9278198033122590720,airbag,7.0,29560863.539790757,26581.220409475583
LOS_ANGELES,9278198067482329088,airbag,8.0,22544766.632064965,8914.821453542154
LOS_ANGELES,9278198101842067456,airbag,22.771001459854016,21635510.023165807,510.12565393228743
LOS_ANGELES,9278198136201805824,airbag,30.847334306569344,30071515.89955155,2841.3515637223427
LOS_ANGELES,9278198548518666240,airbag,25.923667153284672,21687099.124290116,2.7886541264130615
LOS_ANGELES,9278198582878404608,airbag,11.847334306569344,26588296.315247666,6586.933220337938
LOS_ANGELES,9278198617238142976,airbag,9.847334306569344,20127641.859791085,1400.1755663999575
LOS_ANGELES,9278198651597881344,airbag,10.923667153284672,19525056.147515103,1954.5529831415413
LOS_ANGELES,9278198754677096448,airbag,12.923667153284672,25358887.380125485,1088.8874492376083
LOS_ANGELES,9278198789036834816,airbag,10.847334306569344,21247848.951785937,48.2952878381077
LOS_ANGELES,9278157763509223424,blincoe_any_injury,11.747430249632881,15792269.479211029,3554.0686435522975
LOS_ANGELES,9278159137898758144,blincoe_any_injury,8.34214390602055,27792969.33098808,3114.071081001338
LOS_ANGELES,9278159172258496512,blincoe_any_injury,0.0,8259717.172426751,0.06223591475232433
LOS_ANGELES,9278159206618234880,blincoe_any_injury,10.27900146842877,10357629.800613277,7084.111169004135
LOS_ANGELES,9278159240977973248,blincoe_any_injury,8.81057268722466,7464655.017376406,3555.886612082246
LOS_ANGELES,9278159275337711616,blincoe_any_injury,36.4865408319667,11324322.745925948,28159.744929353164
LOS_ANGELES,9278159309697449984,blincoe_any_injury,16.152716593245213,13274764.524209158,22344.744044716463
LOS_ANGELES,9278159344057188352,blincoe_any_injury,24.494860499265766,33065398.799584314,16318.063732230534
LOS_ANGELES,9278159378416926720,blincoe_any_injury,87.76945882504253,29671499.360535305,56927.49287991397
LOS_ANGELES,9278159412776665088,blincoe_any_injury,211.84391726207622,39927383.02695127,36213.612879929555
LOS_ANGELES,9278159790733787136,blincoe_any_injury,16.152716593245213,4560353.764220921,5492.7899336679
LOS_ANGELES,9278172194599337984,blincoe_any_injury,2.93685756240822,2443550.8532125647,1929.3206492798747
LOS_ANGELES,9278172228959076352,blincoe_any_injury,1.46842878120411,1247581.9710565577,788.9007396520989
LOS_ANGELES,9278172263318814720,blincoe_any_injury,10.27900146842877,28319772.749182645,6559.326014942575
LOS_ANGELES,9278172297678553088,blincoe_any_injury,0.0,13254730.195495386,703.5010014521027
