year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Gatik,52CG2DGA7J0017503,0.0,0
2020,safety-driver,Gatik,NM0GS9F26K1412410,2352.0,11
2020,safety-driver,Gatik,NM0LS7F25K1413020,0.0,0
2020,safety-driver,Lyft,3FA6P0RU0HR408592,3539.813616,12
2020,safety-driver,Lyft,3FA6P0RU0JR149057,1921.280703,9
2020,safety-driver,Lyft,3FA6P0RU0JR149687,1158.957415,5
2020,safety-driver,Lyft,3FA6P0RU1HR350928,767.9194904,5
2020,safety-driver,Lyft,3FA6P0RU1KR135721,1182.518948,4
2020,safety-driver,Lyft,3FA6P0RU1KR135962,1552.067445,4
2020,safety-driver,Lyft,3FA6P0RU2JR120045,1830.019719,1
2020,safety-driver,Lyft,3FA6P0RU2JR144443,1419.952907,5
2020,safety-driver,Lyft,3FA6P0RU2JR158004,1227.79441,9
2020,safety-driver,Lyft,3FA6P0RU2JR203832,905.1008301,11
2020,safety-driver,Lyft,3FA6P0RU2KR104428,813.724693,10
2020,safety-driver,Lyft,3FA6P0RU3HR399516,3277.929912,10
2020,safety-driver,Lyft,3FA6P0RU3JR214046,1449.309905,6
2020,safety-driver,Lyft,3FA6P0RU3KR135669,2685.862092,12
2020,safety-driver,Lyft,3FA6P0RU5JR274913,2471.460801,3
2020,safety-driver,Lyft,3FA6P0RU7JR157950,1436.246219,6
2020,safety-driver,Lyft,3FA6P0RU7KR136100,1566.593707,2
2020,safety-driver,Lyft,3FA6P0RUXJR158090,1173.66106,2
2020,safety-driver,Lyft,3FA6P0RUXKR136012,2351.144539,7
2020,safety-driver,Mercedes-Benz,W1K6G7GBXMA000924,1734.25,8
2020,safety-driver,Mercedes-Benz,WDD2221591A417319,1347.01,77
2020,safety-driver,Mercedes-Benz,WDD2221591A470147,887.17,187
2020,safety-driver,Mercedes-Benz,WDD2221591A470238,3774.17,233
2020,safety-driver,Mercedes-Benz,WDD2221591A470497,2930.78,273
2020,safety-driver,Mercedes-Benz,WDD2221591A470500,990.52,123
2020,safety-driver,Mercedes-Benz,WDD2221591A470502,1112.62,57
2020,safety-driver,Mercedes-Benz,WDD2221591A470796,748.37,172
2020,safety-driver,Mercedes-Benz,WDDUG8GB3JA405273,15849.31,33
2020,safety-driver,Mercedes-Benz,WDDUG8GB9KA439459,609.6,4
2020,safety-driver,NVIDIA,3FA6P0RU2HR403815,157.0,7
2020,safety-driver,NVIDIA,3FA6P0RU6HR272968,723.0,42
2020,safety-driver,NVIDIA,3FA6P0RU7JR158970,617.0,20
2020,safety-driver,NVIDIA,3FA6P0RU9JR158968,142.0,15
2020,safety-driver,NVIDIA,3FA6P0RUXHR247670,62.0,10
2020,safety-driver,NVIDIA,3FA6PORU8HR293837,266.0,16
2020,safety-driver,NVIDIA,3FA6PORUOJR158969,1066.0,15
2020,safety-driver,Nissan,1N4BZ0CP6GC302978,1.5,2
2020,safety-driver,Nissan,1N4BZ0CP6GC311826,0.0,0
2020,safety-driver,Nissan,JN1BV7AP1EM685949,0.0,0
2020,safety-driver,Nissan,JN1BV7AP3FM349849,393.0,2
2020,safety-driver,Nuro,1N90NUR06KR385008,9.38,0
2020,safety-driver,Nuro,JTDKARFU0L3104642,1874.51,0
2020,safety-driver,Nuro,JTDKN3DP0C3014583,1959.74,0
2020,safety-driver,Nuro,JTDKN3DP1C3010476,73.89,0
2020,safety-driver,Nuro,JTDKN3DP2C3004167,1497.53,0
2020,safety-driver,Nuro,JTDKN3DP2C3011362,4862.8,2
2020,safety-driver,Nuro,JTDKN3DP3C3008373,96.6,0
2020,safety-driver,Nuro,JTDKN3DP3C3011760,4139.62,1
2020,safety-driver,Nuro,JTDKN3DP3C3020295,3731.3,2
2020,safety-driver,Nuro,JTDKN3DP3D3041696,7754.29,0
2020,safety-driver,Nuro,JTDKN3DP4F3074838,2271.08,0
2020,safety-driver,Nuro,JTDKN3DP5C3001652,298.07,0
2020,safety-driver,Nuro,JTDKN3DP5C3006401,60.82,0
2020,safety-driver,Nuro,JTDKN3DP6D3042602,5463.25,1
2020,safety-driver,Nuro,JTDKN3DP8D3037837,2375.47,1
2020,safety-driver,Nuro,JTDKN3DP8D3041242,1912.3,0
2020,safety-driver,Nuro,JTDKN3DP9C3015182,3597.53,0
2020,safety-driver,Nuro,JTDKN3DPXC3004725,1819.22,2
2020,safety-driver,Nuro,JTDKN3DPXE3050185,4569.29,1
2020,safety-driver,Nuro,JTDKN3DPXF3070616,7003.15,1
2020,safety-driver,Pony.ai,3LN6L5LU3JR627494,11954.0,2
2020,safety-driver,Pony.ai,3LN6L5LU5JR601477,12754.0,2
2020,safety-driver,Pony.ai,3LN6L5LU5JR626122,5850.0,1
2020,safety-driver,Pony.ai,3LN6L5LU6HR6267668,13136.0,1
