year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Apple,2020-07-21T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,System issue interrupted driving algorithm,Hardware-Software
2020,safety-driver,Apple,2020-07-23T00:00:00,True,2T2BGMCA2HC020151,False,True,Test Driver,Street,Sensor/Perception discrepancy resulted in  incorrect predictions for motion planning,Perception
2020,safety-driver,Apple,2020-07-25T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Freeway,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-07-27T00:00:00,True,2T2BGMCA4HC020118,False,True,Test Driver,Freeway,Safety driver discomfort due to selected motion plan,Precautionary
2020,safety-driver,Apple,2020-07-30T00:00:00,True,2T2BGMCA2HC020151,False,True,Test Driver,Street,Incorrect perception of traffic signal lead to undesirable motion plan,Perception
2020,safety-driver,Apple,2020-07-30T00:00:00,True,2T2BGMCA4HC020118,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-08-01T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect perception of traffic signal lead to undesirable motion plan,Perception
2020,safety-driver,Apple,2020-08-04T00:00:00,True,2T2BGMCA9GC007394,False,True,AV System,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-08-11T00:00:00,True,2T2BGMCA5HC014389,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan violating keep clear zone,Planning
2020,safety-driver,Apple,2020-08-25T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-08-27T00:00:00,True,2T2BGMCA8HC020137,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-08-31T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-02T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-08T00:00:00,True,2T2BGMCA2HC020151,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-08T00:00:00,True,2T2BGMCA8HC020137,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-09-09T00:00:00,True,2T2BGMCA4HC020118,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-09-15T00:00:00,True,2T2BGMCA2HC020151,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2020-09-15T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-15T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-21T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-22T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-22T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-23T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-09-28T00:00:00,True,2T2BGMCA4HC020118,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
